"channel","type"
"0x0 Fireplace HD","Развлекательные"
"0x0 Music HD","Музыка"
"1 MUSIC CHANNEL","Музыка"
"1 TV Georgia","Иностранные"
"1 мистический HD","Фильмы"
"1+1 (Int.)","Украинские"
"1+1 International","Украинские"
"1+1","Украинские"
"10 Eser","Иностранные"
"100% Automoto","Иностранные"
"100% News UA","Украинские"
"100% News","Познавательные"
"11 канал HD (Пенза)","Региональные"
"112 Украина HD","Украинские"
"112 Украина","Украинские"
"12 Keshet Israel","Иностранные"
"12 канал (Омск)","Региональные"
"15 TV (Spain)","Иностранные"
"1HD Music TV","Музыка"
"1HD","Музыка"
"1Music (HU)","Музыка"
"1Music (Hungary)","Иностранные"
"1Music (Молдова)","Молдова"
"1Music Channel Hungary","Музыка"
"1st Baltic Music","Музыка"
"2+2","Украинские"
"21 канал (Ужгород)","Украинские"
"21 канал Ужгород [UA]","Украинские"
"213 TV (SK)","Спорт"
"24 Horas (Испания)","Иностранные"
"24 Noticias","Иностранные"
"24 канал HD","Украинские"
"24 канал","Украинские"
"24 Новости","Украинские"
"24H TV","Иностранные"
"26 Регион (Ставрополь)","Украинские"
"2x2 (+2)","Развлекательные"
"2x2 (+4)","Развлекательные"
"2x2 (+7)","Развлекательные"
"2x2","Развлекательные"
"3+ (Latvia)","Иностранные"
"31 Канал (KZ)","Казахстан"
"31 канал (Казахстан)","Казахстан"
"31 Канал","Казахстан"
"324 NOTICIES","Иностранные"
"33 канал (Хмельницкий)","Украинские"
"33 канал (Хмельницький)","Украинские"
"33 канал","Украинские"
"34 канал","Украинские"
"360 (Сургут)","Региональные"
"360 (Ярославль)","Региональные"
"360 HD","Познавательные"
"360 North","Региональные"
"360 Новости HD","Новостные"
"360 Новости","Новостные"
"360 Ярославль","Региональные"
"360","Познавательные"
"360° HD","Познавательные"
"360° Новости HD","Новостные"
"360° Подмосковье HD","Региональные"
"360° Подмосковье","Региональные"
"360°","Познавательные"
"365 дней","Познавательные"
"365","Познавательные"
"3ABN Kidz (USA)","Иностранные"
"3News (NZ)","Региональные"
"3Sat","Иностранные"
"4 канал HD UA","Украинские"
"4 канал Украина HD","Украинские"
"43 HD","Региональные"
"43 канал HD","Региональные"
"47 канал (Санкт-Петербург)","Региональные"
"49 канал (Новосибирск)","Региональные"
"4fun Dance","Музыка"
"4Fun Gold Hits","Музыка"
"4Fun TV","Иностранные"
"4TV (Украина)","Украинские"
"5 канал (Украина)","Украинские"
"5 канал UA","Украинские"
"5 канал","Украинские"
"538 TV","Иностранные"
"66 канал (Израиль)","Иностранные"
"7 TV","Региональные"
"7 канал (KZ)","Казахстан"
"7 канал (Казахстан)","Казахстан"
"7 канал (Одесса)","Украинские"
"7 канал HD (Одесса)","Украинские"
"78 HD","Региональные"
"78 канал HD","Новостные"
"78 канал","Новостные"
"7TV HD Murcia","Региональные"
"7TV","Региональные"
"7ТВ","Развлекательные"
"8 TV (Латино)","Иностранные"
"8 Канал (Int.)","Общественные"
"8 канал (Беларусь)","Белорусские"
"8 Канал (Европа)","Общественные"
"8 Канал (Красноярск)","Региональные"
"8 Канал (Красноярский край)","Общественные"
"8 канал (Новосибирск)","Региональные"
"8 канал (Россия)","Общественные"
"8 канал int","Общественные"
"8 канал","Общественные"
"86 канал (Сургут)","Региональные"
"9 канал HD (Израиль)","Региональные"
"A1 HD","Фильмы"
"A1","Фильмы"
"A2 (Резерв)","Фильмы"
"A2","Фильмы"
"ABP Hindi vijesti","Иностранные"
"Abu Dhabi Drama","Иностранные"
"Abu Dhabi TV HD","Иностранные"
"ACB TV","Региональные"
"Accent TV","Иностранные"
"Actualitatea TV","Региональные"
"AD Sport 1 HD","Спорт"
"AD Sport 2 HD","Спорт"
"Ajara TV HD (Georgia)","Иностранные"
"Akudji HD","Развлекательные"
"Akudji TV HD (Резерв)","Развлекательные"
"Akudji TV HD","Развлекательные"
"Al Aqsa (Arabian)","Иностранные"
"Al Arabiya","Иностранные"
"Al Jazeera Documentary","Иностранные"
"Al Jazeera English","Иностранные"
"Al Kass Sports 1","Спорт"
"Al Kass Sports 4","Спорт"
"Al Kass Sports 5","Спорт"
"Al Rai","Иностранные"
"Al-Manar","Общественные"
"ALB MUSIC","Музыка"
"AlfaoMega TV","Религиозные"
"Allgaeu TV HD","Региональные"
"Almaty TV (KZ)","Казахстан"
"Alpha Media","Региональные"
"AMC","Фильмы"
"Amedia Hit HD","Фильмы"
"Amedia Hit","Фильмы"
"Amedia Premium HD","Фильмы"
"Amedia Premium","Фильмы"
"American Embassy TV Network","Иностранные"
"Amga tv","Магазин"
"Analai Express HD","Региональные"
"Ani","Детские"
"Animal Planet HD","Познавательные"
"Animal Planet","Познавательные"
"Animaux","Региональные"
"Anixe","Иностранные"
"Anyday 3D","Развлекательные"
"Anyday HD","Развлекательные"
"Arabica TV","Иностранные"
"ARD Das Erste","Иностранные"
"ARIANA TV Afganistan","Иностранные"
